Time(s),X(m),Y(m),Z(m),Pitch(deg),Roll(deg),Yaw(deg)
0.00,7.49,-1.78,-6.87,8.00,0.00,0.00
0.11,7.49,-1.78,-6.87,8.00,0.00,0.00
0.22,7.49,-1.78,-6.87,8.00,0.00,0.00
0.33,7.49,-1.78,-6.87,8.00,0.00,0.00
0.43,7.49,-1.78,-6.87,8.00,0.00,0.00
0.54,7.49,-1.78,-6.87,8.00,0.00,0.00
0.65,7.49,-1.78,-6.87,8.00,0.00,0.00
0.76,7.49,-1.78,-6.87,8.00,0.00,0.00
0.87,7.49,-1.78,-6.87,8.00,0.00,0.00
0.98,7.49,-1.78,-6.87,8.00,0.00,0.00
1.09,7.49,-1.78,-6.87,8.00,0.00,0.00
1.20,7.49,-1.78,-6.87,8.00,0.00,0.00
1.31,7.49,-1.78,-6.87,8.00,0.00,0.00
1.41,7.49,-1.78,-6.87,8.00,0.00,0.00
1.52,7.49,-1.78,-6.87,8.00,0.00,0.00
1.63,7.49,-1.78,-6.87,8.00,0.00,0.00
1.74,7.49,-1.78,-6.87,8.00,0.00,0.00
1.85,7.49,-1.78,-6.87,8.00,0.00,0.00
1.96,7.49,-1.78,-6.87,8.00,0.00,0.00
2.07,7.49,-1.78,-6.87,8.00,0.00,0.00
2.18,7.49,-1.78,-6.87,8.00,0.00,0.00
2.28,8.44,-1.78,-7.00,8.00,0.00,0.00
2.39,9.43,-1.78,-7.14,8.00,0.00,0.00
2.50,10.42,-1.78,-7.28,8.00,0.00,0.00
2.61,11.67,-1.78,-7.46,8.00,0.00,0.00
2.72,12.62,-1.78,-7.59,8.00,0.00,0.00
2.83,13.89,-1.78,-7.77,8.00,0.00,0.00
2.94,14.80,-1.78,-7.90,8.00,0.00,0.00
3.04,15.95,-1.78,-8.06,7.00,0.00,0.00
3.15,16.89,-1.78,-8.16,4.00,0.00,0.00
3.26,18.16,-1.78,-8.23,3.00,0.00,0.00
3.37,19.12,-1.78,-8.28,3.00,0.00,0.00
3.48,20.36,-1.78,-8.34,3.00,0.00,0.00
3.59,21.28,-1.79,-8.39,3.00,0.00,-2.00
3.69,22.48,-1.86,-8.45,3.00,0.00,-4.00
3.80,23.40,-1.92,-8.50,3.00,0.00,-4.00
3.91,24.60,-2.00,-8.57,3.00,0.00,-4.00
4.02,25.52,-2.07,-8.61,3.00,0.00,-4.00
4.13,26.69,-2.16,-8.68,3.00,0.00,-6.00
4.24,27.86,-2.31,-8.74,3.00,0.00,-10.00
4.35,28.72,-2.46,-8.78,3.00,0.00,-10.00
4.46,29.92,-2.64,-8.85,3.00,0.00,-6.00
4.56,31.07,-2.77,-8.91,3.00,0.00,-8.00
4.67,32.05,-2.92,-8.96,3.00,0.00,-11.00
4.78,33.09,-3.15,-9.02,3.00,0.00,-15.00
4.89,34.18,-3.47,-9.07,3.00,0.00,-18.00
5.00,35.28,-3.80,-9.13,3.00,0.00,-14.00
5.11,36.42,-4.09,-9.20,2.00,0.00,-14.00
5.22,37.23,-4.29,-9.22,1.00,0.00,-15.00
5.33,38.32,-4.61,-9.24,1.00,0.00,-19.00
5.43,39.38,-5.00,-9.26,1.00,0.00,-22.00
5.54,40.42,-5.40,-9.28,1.00,0.00,-18.00
5.65,41.50,-5.71,-9.29,1.00,0.00,-15.00
5.76,42.58,-6.00,-9.31,1.00,0.00,-15.00
5.87,43.66,-6.30,-9.33,1.00,0.00,-17.00
5.98,44.46,-6.56,-9.35,1.00,0.00,-20.00
6.09,45.50,-6.95,-9.37,1.00,0.00,-21.00
6.20,46.51,-7.34,-9.39,1.00,0.00,-21.00
6.31,47.53,-7.73,-9.41,1.00,0.00,-19.00
6.41,48.58,-8.06,-9.42,1.00,0.00,-17.00
6.52,49.65,-8.38,-9.44,1.00,0.00,-15.00
6.63,50.73,-8.64,-9.46,1.00,0.00,-11.00
6.74,51.88,-8.85,-9.48,1.00,0.00,-10.00
6.85,52.93,-9.03,-9.50,1.00,0.00,-7.00
6.95,54.07,-9.15,-9.52,1.00,0.00,-6.00
7.06,55.15,-9.29,-9.54,1.00,0.00,-8.00
7.17,56.23,-9.42,-9.56,1.00,0.00,-5.00
7.28,57.34,-9.48,-9.58,1.00,0.00,-1.00
7.39,58.17,-9.48,-9.59,1.00,0.00,2.00
7.50,59.26,-9.45,-9.61,1.00,0.00,2.00
7.60,59.83,-9.43,-9.62,1.00,0.00,2.00
7.71,59.83,-9.43,-9.62,1.00,0.00,2.00
7.82,59.83,-9.43,-9.62,1.00,0.00,4.00
7.93,59.83,-9.43,-9.62,1.00,0.00,6.00
8.04,59.83,-9.43,-9.62,1.00,0.00,6.00
8.15,59.83,-9.43,-9.62,1.00,0.00,6.00
8.26,59.83,-9.43,-9.62,1.00,0.00,6.00
8.37,59.83,-9.43,-9.62,1.00,0.00,6.00
8.47,59.83,-9.43,-9.62,1.00,0.00,6.00
8.58,59.83,-9.43,-9.62,1.00,0.00,6.00
8.69,59.83,-9.43,-9.62,1.00,0.00,6.00
8.80,59.83,-9.43,-9.62,1.00,0.00,6.00
8.91,59.83,-9.43,-9.62,1.00,0.00,6.00
9.02,59.83,-9.43,-9.62,1.00,0.00,6.00
9.13,59.83,-9.43,-9.62,1.00,0.00,6.00
9.24,59.83,-9.43,-9.62,1.00,0.00,6.00
9.35,59.83,-9.43,-9.62,1.00,0.00,6.00
9.45,59.83,-9.43,-9.62,1.00,0.00,6.00
9.56,59.83,-9.43,-9.62,1.00,0.00,6.00
9.67,59.83,-9.43,-9.62,1.00,0.00,6.00
9.78,59.83,-9.43,-9.62,1.00,0.00,6.00
