Time(s),X(m),Y(m),Z(m),Pitch(deg),Roll(deg),Yaw(deg)
0.00,9.19,-1.66,-5.08,-0.00,0.00,-2.00
0.11,9.19,-1.66,-5.08,-0.00,0.00,-2.00
0.22,9.19,-1.66,-5.08,-0.00,0.00,-2.00
0.33,9.19,-1.66,-5.08,-0.00,0.00,-2.00
0.43,9.19,-1.66,-5.08,-0.00,0.00,-2.00
0.55,9.19,-1.66,-5.08,-0.00,0.00,-2.00
0.65,9.19,-1.66,-5.08,-0.00,0.00,-2.00
0.76,9.19,-1.66,-5.08,-0.00,0.00,-2.00
0.87,9.19,-1.66,-5.08,-0.00,0.00,-2.00
0.98,9.19,-1.66,-5.08,-0.00,0.00,-2.00
1.09,9.19,-1.66,-5.08,-0.00,0.00,-2.00
1.20,9.19,-1.66,-5.08,-0.00,0.00,-2.00
1.31,9.19,-1.66,-5.08,-0.00,0.00,-2.00
1.42,9.19,-1.66,-5.08,-0.00,0.00,-2.00
1.53,9.19,-1.66,-5.08,-0.00,0.00,-2.00
1.64,9.19,-1.66,-5.08,-0.00,0.00,-2.00
1.74,9.19,-1.66,-5.08,-0.00,0.00,-2.00
1.85,9.19,-1.66,-5.08,-0.00,0.00,-2.00
1.96,9.19,-1.66,-5.08,-0.00,0.00,-2.00
2.07,9.19,-1.66,-5.08,-0.00,0.00,-2.00
2.18,9.19,-1.66,-5.08,-0.00,0.00,-2.00
2.28,9.19,-1.66,-5.08,-0.00,0.00,-2.00
2.39,9.19,-1.66,-5.08,-0.00,0.00,-2.00
2.50,9.19,-1.66,-5.08,-0.00,0.00,-2.00
2.61,9.19,-1.66,-5.08,-0.00,0.00,-2.00
2.72,9.19,-1.66,-5.08,-0.00,0.00,-2.00
2.83,9.19,-1.66,-5.08,-0.00,0.00,-2.00
2.94,9.19,-1.66,-5.08,-0.00,0.00,-2.00
3.05,9.19,-1.66,-5.08,-0.00,0.00,-2.00
3.15,9.19,-1.66,-5.08,-0.00,0.00,-2.00
3.26,9.19,-1.66,-5.08,-0.00,0.00,-2.00
3.37,9.19,-1.66,-5.08,-0.00,0.00,-2.00
3.48,9.19,-1.66,-5.08,-0.00,0.00,-2.00
3.59,9.19,-1.66,-5.08,-0.00,0.00,-2.00
3.70,9.19,-1.66,-5.08,-0.00,0.00,-2.00
3.81,9.19,-1.66,-5.08,-0.00,0.00,-2.00
3.92,9.19,-1.66,-5.08,-0.00,0.00,-2.00
4.02,9.19,-1.66,-5.08,-0.00,0.00,-2.00
4.13,9.19,-1.66,-5.08,-0.00,0.00,-2.00
4.24,9.19,-1.66,-5.08,-0.00,0.00,-2.00
4.35,9.19,-1.66,-5.08,-0.00,0.00,-2.00
4.46,9.19,-1.66,-5.08,-0.00,0.00,-2.00
4.57,9.19,-1.66,-5.08,-0.00,0.00,-2.00
4.68,9.19,-1.66,-5.08,-0.00,0.00,-2.00
4.78,9.19,-1.66,-5.08,-0.00,0.00,-2.00
4.89,9.19,-1.66,-5.08,-0.00,0.00,-2.00
5.00,9.19,-1.66,-5.08,-0.00,0.00,-2.00
5.11,9.19,-1.66,-5.08,-0.00,0.00,-2.00
5.22,9.19,-1.66,-5.08,-0.00,0.00,-2.00
5.33,9.19,-1.66,-5.08,-0.00,0.00,-2.00
5.44,9.51,-1.67,-5.08,-0.00,0.00,-2.00
5.54,10.48,-1.71,-5.08,-0.00,0.00,-2.00
