Time(s),X(m),Y(m),Z(m),Pitch(deg),Roll(deg),Yaw(deg)
0.00,14.99,-1.08,-5.05,-0.00,0.00,2.00
0.10,14.99,-1.08,-5.05,-0.00,0.00,2.00
0.21,14.99,-1.08,-5.05,-0.00,0.00,2.00
0.32,14.99,-1.08,-5.05,-0.00,0.00,2.00
0.43,14.99,-1.08,-5.05,-0.00,0.00,2.00
0.54,14.99,-1.08,-5.05,-0.00,0.00,2.00
0.64,14.99,-1.08,-5.05,-0.00,0.00,2.00
0.75,14.99,-1.08,-5.05,-0.00,0.00,2.00
0.86,14.99,-1.08,-5.05,-0.00,0.00,2.00
0.97,14.99,-1.08,-5.05,-0.00,0.00,2.00
1.08,14.99,-1.08,-5.05,-0.00,0.00,2.00
1.19,14.99,-1.08,-5.05,-0.00,0.00,2.00
1.30,14.99,-1.08,-5.05,-0.00,0.00,2.00
1.40,14.99,-1.08,-5.05,-0.00,0.00,2.00
1.51,14.99,-1.08,-5.05,-0.00,0.00,2.00
1.62,14.99,-1.08,-5.05,-0.00,0.00,2.00
1.73,14.99,-1.08,-5.05,-0.00,0.00,2.00
1.84,15.97,-1.04,-5.05,-0.00,0.00,2.00
1.95,16.92,-1.01,-5.05,-0.00,0.00,2.00
2.05,18.04,-0.97,-5.05,-0.00,0.00,2.00
2.16,19.22,-0.93,-5.05,-0.00,0.00,2.00
2.27,20.17,-0.90,-5.05,-0.00,0.00,2.00
2.38,21.46,-0.85,-5.05,-0.00,0.00,2.00
2.49,22.39,-0.82,-5.05,-0.00,0.00,2.00
2.60,23.66,-0.78,-5.05,-0.00,0.00,2.00
2.70,24.60,-0.74,-5.05,-0.00,0.00,2.00
2.81,25.56,-0.71,-5.05,-0.00,0.00,2.00
2.92,26.81,-0.67,-5.05,-0.00,0.00,2.00
3.03,27.74,-0.63,-5.05,-0.00,0.00,2.00
3.14,28.99,-0.59,-5.05,-0.00,0.00,2.00
3.24,29.95,-0.56,-5.05,-0.00,0.00,2.00
3.35,31.18,-0.51,-5.05,-0.00,0.00,2.00
3.46,32.12,-0.48,-5.05,-0.00,0.00,2.00
3.57,33.36,-0.44,-5.05,-0.00,0.00,2.00
3.67,34.28,-0.41,-5.05,-0.00,0.00,2.00
3.78,35.51,-0.36,-5.05,-0.00,0.00,2.00
3.89,36.42,-0.33,-5.05,-0.00,0.00,2.00
4.00,37.67,-0.29,-5.05,-0.00,0.00,2.00
4.11,38.56,-0.26,-5.05,-0.00,0.00,2.00
4.22,39.80,-0.21,-5.05,-0.00,0.00,2.00
4.33,40.70,-0.18,-5.05,-0.00,0.00,2.00
4.44,41.89,-0.14,-5.05,-0.00,0.00,2.00
4.55,43.11,-0.10,-5.05,-0.00,0.00,2.00
4.65,44.00,-0.07,-5.05,-0.00,0.00,2.00
4.76,45.20,-0.02,-5.05,-0.00,0.00,2.00
4.87,46.40,0.02,-5.05,-0.00,0.00,2.00
4.98,47.30,0.05,-5.05,-0.00,0.00,2.00
5.09,48.53,0.09,-5.05,-0.00,0.00,2.00
5.20,49.39,0.12,-5.05,-0.00,0.00,2.00
5.30,50.58,0.16,-5.05,-0.00,0.00,2.00
5.41,51.75,0.21,-5.05,-0.00,0.00,2.00
5.52,52.92,0.22,-5.05,-0.00,0.00,-1.00
5.63,53.79,0.20,-5.05,-0.00,0.00,-1.00
5.74,54.94,0.18,-5.05,-0.00,0.00,-1.00
5.85,56.07,0.16,-5.05,-0.00,0.00,-1.00
5.96,57.26,0.14,-5.05,-0.00,0.00,-1.00
6.07,58.16,0.13,-5.05,-0.00,0.00,-1.00
6.17,59.24,0.11,-5.05,-0.00,0.00,-1.00
6.28,60.41,0.09,-5.05,-0.00,0.00,-1.00
6.39,61.55,0.07,-5.05,-0.00,0.00,-1.00
6.50,62.42,0.05,-5.05,-0.00,0.00,-1.00
6.61,63.60,0.03,-5.05,-0.00,0.00,-1.00
6.72,64.75,0.02,-5.05,-0.00,0.00,1.00
6.82,65.63,0.03,-5.05,-0.00,0.00,1.00
6.93,66.79,0.05,-5.05,-0.00,0.00,1.00
7.04,68.00,0.07,-5.05,-0.00,0.00,1.00
7.15,69.17,0.09,-5.05,-0.00,0.00,1.00
7.26,70.06,0.11,-5.05,-0.00,0.00,1.00
7.37,71.26,0.13,-5.05,-0.00,0.00,1.00
7.47,72.41,0.15,-5.05,-0.00,0.00,1.00
7.58,73.30,0.17,-5.05,-0.00,0.00,1.00
7.69,74.47,0.19,-5.05,-0.00,0.00,1.00
7.80,75.66,0.21,-5.05,-0.00,0.00,1.00
7.91,76.57,0.22,-5.05,-0.00,0.00,-1.00
