Pair,Cosine Similarity (Mean),Pearson Correlation (Mean),Normalized Cross-Correlation (Mean),Lag at Max NCC (Y),Lag at Max NCC (Z)
a2c_naturecnn_depth_leavesFalling_positions.csv vs a2c_naturecnn_depth_obstacle_weather_leavesfalling_leavesFalling_positions.csv,0.4233,0.7896,0.799,-4,-5
a2c_naturecnn_depth_leavesFalling_positions.csv vs a2c_naturecnn_depth_obstacle_weather_rainandfog_leavesFalling_positions.csv,0.9317,0.8458,0.8524,0,-5
a2c_naturecnn_depth_leavesFalling_positions.csv vs a2c_naturecnn_depth_obstacle_weather_snowonly_leavesFalling_positions.csv,0.7053,0.826,0.8793,-10,-12
a2c_naturecnn_depth_leavesFalling_positions.csv vs ppo_naturecnn_depth_leavesFalling_positions.csv,0.9945,0.9823,0.9824,1,0
a2c_naturecnn_depth_leavesFalling_positions.csv vs ppo_naturecnn_depth_obstacle_weather_leavesfalling_leavesFalling_positions.csv,0.907,0.7341,0.8245,-2,-25
a2c_naturecnn_depth_leavesFalling_positions.csv vs ppo_naturecnn_depth_obstacle_weather_rainandfog_leavesFalling_positions.csv,0.961,0.8777,0.916,2,-11
a2c_naturecnn_depth_leavesFalling_positions.csv vs ppo_naturecnn_depth_obstacle_weather_snowonly_leavesFalling_positions.csv,0.9488,0.8292,0.8725,2,-13
a2c_naturecnn_depth_obstacle_weather_leavesfalling_leavesFalling_positions.csv vs a2c_naturecnn_depth_obstacle_weather_rainandfog_leavesFalling_positions.csv,0.5764,0.9032,0.9032,0,0
a2c_naturecnn_depth_obstacle_weather_leavesfalling_leavesFalling_positions.csv vs a2c_naturecnn_depth_obstacle_weather_snowonly_leavesFalling_positions.csv,0.8322,0.8892,0.9007,-5,-7
a2c_naturecnn_depth_obstacle_weather_leavesfalling_leavesFalling_positions.csv vs ppo_naturecnn_depth_leavesFalling_positions.csv,0.4254,0.7743,0.7829,0,5
a2c_naturecnn_depth_obstacle_weather_leavesfalling_leavesFalling_positions.csv vs ppo_naturecnn_depth_obstacle_weather_leavesfalling_leavesFalling_positions.csv,0.3791,0.6461,0.8104,1,52
a2c_naturecnn_depth_obstacle_weather_leavesfalling_leavesFalling_positions.csv vs ppo_naturecnn_depth_obstacle_weather_rainandfog_leavesFalling_positions.csv,0.4471,0.7882,0.8331,1,-19
a2c_naturecnn_depth_obstacle_weather_leavesfalling_leavesFalling_positions.csv vs ppo_naturecnn_depth_obstacle_weather_snowonly_leavesFalling_positions.csv,0.4255,0.7636,0.823,0,-18
a2c_naturecnn_depth_obstacle_weather_rainandfog_leavesFalling_positions.csv vs a2c_naturecnn_depth_obstacle_weather_snowonly_leavesFalling_positions.csv,0.7996,0.8797,0.8971,1,-6
a2c_naturecnn_depth_obstacle_weather_rainandfog_leavesFalling_positions.csv vs ppo_naturecnn_depth_leavesFalling_positions.csv,0.9279,0.8308,0.8417,0,6
a2c_naturecnn_depth_obstacle_weather_rainandfog_leavesFalling_positions.csv vs ppo_naturecnn_depth_obstacle_weather_leavesfalling_leavesFalling_positions.csv,0.8716,0.745,0.7804,-7,-24
a2c_naturecnn_depth_obstacle_weather_rainandfog_leavesFalling_positions.csv vs ppo_naturecnn_depth_obstacle_weather_rainandfog_leavesFalling_positions.csv,0.9569,0.9033,0.9101,1,-7
a2c_naturecnn_depth_obstacle_weather_rainandfog_leavesFalling_positions.csv vs ppo_naturecnn_depth_obstacle_weather_snowonly_leavesFalling_positions.csv,0.9463,0.8733,0.8832,3,-6
a2c_naturecnn_depth_obstacle_weather_snowonly_leavesFalling_positions.csv vs ppo_naturecnn_depth_leavesFalling_positions.csv,0.6993,0.798,0.8669,13,14
a2c_naturecnn_depth_obstacle_weather_snowonly_leavesFalling_positions.csv vs ppo_naturecnn_depth_obstacle_weather_leavesfalling_leavesFalling_positions.csv,0.7024,0.7927,0.8359,7,-13
a2c_naturecnn_depth_obstacle_weather_snowonly_leavesFalling_positions.csv vs ppo_naturecnn_depth_obstacle_weather_rainandfog_leavesFalling_positions.csv,0.7618,0.8815,0.8981,15,-3
a2c_naturecnn_depth_obstacle_weather_snowonly_leavesFalling_positions.csv vs ppo_naturecnn_depth_obstacle_weather_snowonly_leavesFalling_positions.csv,0.7474,0.8559,0.8595,0,-3
ppo_naturecnn_depth_leavesFalling_positions.csv vs ppo_naturecnn_depth_obstacle_weather_leavesfalling_leavesFalling_positions.csv,0.8959,0.7173,0.8354,-2,-29
ppo_naturecnn_depth_leavesFalling_positions.csv vs ppo_naturecnn_depth_obstacle_weather_rainandfog_leavesFalling_positions.csv,0.9555,0.8574,0.8998,1,-13
ppo_naturecnn_depth_leavesFalling_positions.csv vs ppo_naturecnn_depth_obstacle_weather_snowonly_leavesFalling_positions.csv,0.9428,0.809,0.8646,1,-14
ppo_naturecnn_depth_obstacle_weather_leavesfalling_leavesFalling_positions.csv vs ppo_naturecnn_depth_obstacle_weather_rainandfog_leavesFalling_positions.csv,0.9182,0.8333,0.8603,3,8
ppo_naturecnn_depth_obstacle_weather_leavesfalling_leavesFalling_positions.csv vs ppo_naturecnn_depth_obstacle_weather_snowonly_leavesFalling_positions.csv,0.9148,0.8195,0.8685,7,7
ppo_naturecnn_depth_obstacle_weather_rainandfog_leavesFalling_positions.csv vs ppo_naturecnn_depth_obstacle_weather_snowonly_leavesFalling_positions.csv,0.9887,0.9635,0.9658,0,2
