Pair,Cosine Similarity (Mean),Pearson Correlation (Mean),Normalized Cross-Correlation (Mean),Lag at Max NCC (Y),Lag at Max NCC (Z)
a2c_naturecnn_single_rgb_leavesFalling_positions.csv vs a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_leavesFalling_positions.csv,0.9513,0.8068,0.8163,7,0
a2c_naturecnn_single_rgb_leavesFalling_positions.csv vs a2c_naturecnn_single_rgb_obstacle_weather_rainandfog_leavesFalling_positions.csv,0.964,0.7982,0.8079,0,-12
a2c_naturecnn_single_rgb_leavesFalling_positions.csv vs a2c_naturecnn_single_rgb_obstacle_weather_snowonly_leavesFalling_positions.csv,0.9395,0.7151,0.7501,14,-1
a2c_naturecnn_single_rgb_leavesFalling_positions.csv vs ppo_naturecnn_single_rgb_leavesFalling_positions.csv,0.9927,0.9561,0.9561,0,0
a2c_naturecnn_single_rgb_leavesFalling_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling_leavesFalling_positions.csv,0.9731,0.853,0.853,0,0
a2c_naturecnn_single_rgb_leavesFalling_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_rainandfog_leavesFalling_positions.csv,0.7619,0.7599,0.7607,2,0
a2c_naturecnn_single_rgb_leavesFalling_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_snowonly_leavesFalling_positions.csv,0.9112,0.5602,0.6849,-35,0
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_leavesFalling_positions.csv vs a2c_naturecnn_single_rgb_obstacle_weather_rainandfog_leavesFalling_positions.csv,0.9542,0.7428,0.7441,0,-4
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_leavesFalling_positions.csv vs a2c_naturecnn_single_rgb_obstacle_weather_snowonly_leavesFalling_positions.csv,0.9418,0.7269,0.7312,2,2
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_leavesFalling_positions.csv vs ppo_naturecnn_single_rgb_leavesFalling_positions.csv,0.9546,0.8145,0.8301,-7,0
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_leavesFalling_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling_leavesFalling_positions.csv,0.9654,0.8745,0.8745,0,0
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_leavesFalling_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_rainandfog_leavesFalling_positions.csv,0.784,0.7153,0.7353,-5,9
