Pair,Cosine Similarity (Mean),Pearson Correlation (Mean),Normalized Cross-Correlation (Mean),Lag at Max NCC (Y),Lag at Max NCC (Z)
a2c_naturecnn_depth_RainandFog_positions.csv vs a2c_naturecnn_depth_obstacle_weather_leavesfalling_RainandFog_positions.csv,0.3366,0.7017,0.7058,-3,0
a2c_naturecnn_depth_RainandFog_positions.csv vs a2c_naturecnn_depth_obstacle_weather_rainandfog_RainandFog_positions.csv,0.8676,0.7003,0.73,2,-6
a2c_naturecnn_depth_RainandFog_positions.csv vs a2c_naturecnn_depth_obstacle_weather_snowonly_RainandFog_positions.csv,0.6752,0.7145,0.7961,-10,-14
a2c_naturecnn_depth_RainandFog_positions.csv vs ppo_naturecnn_depth_RainandFog_positions.csv,0.9934,0.9784,0.9784,0,0
a2c_naturecnn_depth_RainandFog_positions.csv vs ppo_naturecnn_depth_obstacle_weather_leavesfalling_RainandFog_positions.csv,0.858,0.6515,0.8151,-1,-28
a2c_naturecnn_depth_RainandFog_positions.csv vs ppo_naturecnn_depth_obstacle_weather_rainandfog_RainandFog_positions.csv,0.9397,0.8198,0.8842,2,-15
a2c_naturecnn_depth_RainandFog_positions.csv vs ppo_naturecnn_depth_obstacle_weather_snowonly_RainandFog_positions.csv,0.9302,0.7712,0.8442,3,-15
a2c_naturecnn_depth_obstacle_weather_leavesfalling_RainandFog_positions.csv vs a2c_naturecnn_depth_obstacle_weather_rainandfog_RainandFog_positions.csv,0.5178,0.8388,0.8537,3,-1
a2c_naturecnn_depth_obstacle_weather_leavesfalling_RainandFog_positions.csv vs a2c_naturecnn_depth_obstacle_weather_snowonly_RainandFog_positions.csv,0.7243,0.8137,0.8353,1,-8
a2c_naturecnn_depth_obstacle_weather_leavesfalling_RainandFog_positions.csv vs ppo_naturecnn_depth_RainandFog_positions.csv,0.3562,0.7332,0.7332,0,1
a2c_naturecnn_depth_obstacle_weather_leavesfalling_RainandFog_positions.csv vs ppo_naturecnn_depth_obstacle_weather_leavesfalling_RainandFog_positions.csv,0.3421,0.6219,0.8237,3,48
a2c_naturecnn_depth_obstacle_weather_leavesfalling_RainandFog_positions.csv vs ppo_naturecnn_depth_obstacle_weather_rainandfog_RainandFog_positions.csv,0.3917,0.7519,0.7925,0,-19
a2c_naturecnn_depth_obstacle_weather_leavesfalling_RainandFog_positions.csv vs ppo_naturecnn_depth_obstacle_weather_snowonly_RainandFog_positions.csv,0.3637,0.731,0.8109,0,-22
a2c_naturecnn_depth_obstacle_weather_rainandfog_RainandFog_positions.csv vs a2c_naturecnn_depth_obstacle_weather_snowonly_RainandFog_positions.csv,0.8449,0.8867,0.8867,0,0
a2c_naturecnn_depth_obstacle_weather_rainandfog_RainandFog_positions.csv vs ppo_naturecnn_depth_RainandFog_positions.csv,0.897,0.7861,0.7912,0,4
a2c_naturecnn_depth_obstacle_weather_rainandfog_RainandFog_positions.csv vs ppo_naturecnn_depth_obstacle_weather_leavesfalling_RainandFog_positions.csv,0.8527,0.7504,0.7869,-1,-27
a2c_naturecnn_depth_obstacle_weather_rainandfog_RainandFog_positions.csv vs ppo_naturecnn_depth_obstacle_weather_rainandfog_RainandFog_positions.csv,0.938,0.8783,0.8962,2,-13
a2c_naturecnn_depth_obstacle_weather_rainandfog_RainandFog_positions.csv vs ppo_naturecnn_depth_obstacle_weather_snowonly_RainandFog_positions.csv,0.9389,0.8803,0.9057,3,-13
a2c_naturecnn_depth_obstacle_weather_snowonly_RainandFog_positions.csv vs ppo_naturecnn_depth_RainandFog_positions.csv,0.7064,0.7785,0.8438,8,14
a2c_naturecnn_depth_obstacle_weather_snowonly_RainandFog_positions.csv vs ppo_naturecnn_depth_obstacle_weather_leavesfalling_RainandFog_positions.csv,0.776,0.849,0.8722,8,-13
a2c_naturecnn_depth_obstacle_weather_snowonly_RainandFog_positions.csv vs ppo_naturecnn_depth_obstacle_weather_rainandfog_RainandFog_positions.csv,0.7966,0.8873,0.9001,12,1
a2c_naturecnn_depth_obstacle_weather_snowonly_RainandFog_positions.csv vs ppo_naturecnn_depth_obstacle_weather_snowonly_RainandFog_positions.csv,0.7747,0.8666,0.8908,17,-4
ppo_naturecnn_depth_RainandFog_positions.csv vs ppo_naturecnn_depth_obstacle_weather_leavesfalling_RainandFog_positions.csv,0.8572,0.6638,0.8349,0,-29
ppo_naturecnn_depth_RainandFog_positions.csv vs ppo_naturecnn_depth_obstacle_weather_rainandfog_RainandFog_positions.csv,0.9439,0.8341,0.899,3,-15
ppo_naturecnn_depth_RainandFog_positions.csv vs ppo_naturecnn_depth_obstacle_weather_snowonly_RainandFog_positions.csv,0.9317,0.7792,0.8592,5,-15
ppo_naturecnn_depth_obstacle_weather_leavesfalling_RainandFog_positions.csv vs ppo_naturecnn_depth_obstacle_weather_rainandfog_RainandFog_positions.csv,0.9094,0.8361,0.859,0,10
ppo_naturecnn_depth_obstacle_weather_leavesfalling_RainandFog_positions.csv vs ppo_naturecnn_depth_obstacle_weather_snowonly_RainandFog_positions.csv,0.9105,0.8387,0.8581,0,9
ppo_naturecnn_depth_obstacle_weather_rainandfog_RainandFog_positions.csv vs ppo_naturecnn_depth_obstacle_weather_snowonly_RainandFog_positions.csv,0.9862,0.9574,0.9574,0,0
