Pair,Cosine Similarity (Mean),Pearson Correlation (Mean),Normalized Cross-Correlation (Mean),Lag at Max NCC (Y),Lag at Max NCC (Z)
a2c_naturecnn_single_rgb_RainandFog_positions.csv vs a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_RainandFog_positions.csv,0.9519,0.7607,0.7607,0,0
a2c_naturecnn_single_rgb_RainandFog_positions.csv vs a2c_naturecnn_single_rgb_obstacle_weather_rainandfog_RainandFog_positions.csv,0.9159,0.6452,0.7275,-31,0
a2c_naturecnn_single_rgb_RainandFog_positions.csv vs ppo_naturecnn_single_rgb_RainandFog_positions.csv,0.9375,0.8352,0.8352,0,0
a2c_naturecnn_single_rgb_RainandFog_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling_RainandFog_positions.csv,0.9433,0.6907,0.7314,151,0
a2c_naturecnn_single_rgb_RainandFog_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_rainandfog_RainandFog_positions.csv,0.9259,0.5024,0.7252,161,0
a2c_naturecnn_single_rgb_RainandFog_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_snowonly_RainandFog_positions.csv,0.6806,0.9281,0.9281,0,0
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_RainandFog_positions.csv vs a2c_naturecnn_single_rgb_obstacle_weather_rainandfog_RainandFog_positions.csv,0.9549,0.8261,0.8283,-8,0
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_RainandFog_positions.csv vs ppo_naturecnn_single_rgb_RainandFog_positions.csv,0.9145,0.7831,0.7831,0,0
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_RainandFog_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling_RainandFog_positions.csv,0.975,0.9242,0.9242,0,0
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_RainandFog_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_rainandfog_RainandFog_positions.csv,0.9626,0.8197,0.8198,2,0
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_RainandFog_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_snowonly_RainandFog_positions.csv,0.6845,0.7627,0.7627,0,0
a2c_naturecnn_single_rgb_obstacle_weather_rainandfog_RainandFog_positions.csv vs ppo_naturecnn_single_rgb_RainandFog_positions.csv,0.8288,0.5087,0.5857,38,0
a2c_naturecnn_single_rgb_obstacle_weather_rainandfog_RainandFog_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling_RainandFog_positions.csv,0.9444,0.7671,0.7793,4,1
a2c_naturecnn_single_rgb_obstacle_weather_rainandfog_RainandFog_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_rainandfog_RainandFog_positions.csv,0.9333,0.6762,0.7039,44,0
a2c_naturecnn_single_rgb_obstacle_weather_rainandfog_RainandFog_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_snowonly_RainandFog_positions.csv,0.6504,0.6759,0.7045,22,0
ppo_naturecnn_single_rgb_RainandFog_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling_RainandFog_positions.csv,0.8817,0.6928,0.6928,0,0
ppo_naturecnn_single_rgb_RainandFog_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_rainandfog_RainandFog_positions.csv,0.8624,0.547,0.6644,262,0
ppo_naturecnn_single_rgb_RainandFog_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_snowonly_RainandFog_positions.csv,0.5272,0.7187,0.7187,0,0
ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling_RainandFog_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_rainandfog_RainandFog_positions.csv,0.9228,0.747,0.7649,27,0
ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling_RainandFog_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_snowonly_RainandFog_positions.csv,0.6851,0.6363,0.6392,-127,0
ppo_naturecnn_single_rgb_obstacle_weather_rainandfog_RainandFog_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_snowonly_RainandFog_positions.csv,0.6522,0.4509,0.6778,-133,0
