Pair,Cosine Similarity (Mean),Pearson Correlation (Mean),Normalized Cross-Correlation (Mean),Lag at Max NCC (Y),Lag at Max NCC (Z)
a2c_naturecnn_single_rgb_SnowOnly_positions.csv vs a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_SnowOnly_positions.csv,0.9642,0.8752,0.8766,2,0
a2c_naturecnn_single_rgb_SnowOnly_positions.csv vs a2c_naturecnn_single_rgb_obstacle_weather_rainandfog_SnowOnly_positions.csv,0.9286,0.6638,0.6884,0,-16
a2c_naturecnn_single_rgb_SnowOnly_positions.csv vs a2c_naturecnn_single_rgb_obstacle_weather_snowonly_SnowOnly_positions.csv,0.9284,0.6173,0.6642,20,0
a2c_naturecnn_single_rgb_SnowOnly_positions.csv vs ppo_naturecnn_single_rgb_SnowOnly_positions.csv,0.993,0.9671,0.9671,-1,0
a2c_naturecnn_single_rgb_SnowOnly_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling_SnowOnly_positions.csv,0.9623,0.8874,0.8874,0,0
a2c_naturecnn_single_rgb_SnowOnly_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_rainandfog_SnowOnly_positions.csv,0.8255,0.8279,0.8546,17,0
a2c_naturecnn_single_rgb_SnowOnly_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_snowonly_SnowOnly_positions.csv,0.8693,0.476,0.6326,-41,0
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_SnowOnly_positions.csv vs a2c_naturecnn_single_rgb_obstacle_weather_rainandfog_SnowOnly_positions.csv,0.9139,0.6252,0.6262,0,-3
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_SnowOnly_positions.csv vs a2c_naturecnn_single_rgb_obstacle_weather_snowonly_SnowOnly_positions.csv,0.9042,0.5914,0.6051,50,1
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_SnowOnly_positions.csv vs ppo_naturecnn_single_rgb_SnowOnly_positions.csv,0.9616,0.8615,0.8658,-4,0
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_SnowOnly_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling_SnowOnly_positions.csv,0.968,0.8981,0.9022,-2,0
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_SnowOnly_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_rainandfog_SnowOnly_positions.csv,0.8361,0.8347,0.8347,0,0
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_SnowOnly_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_snowonly_SnowOnly_positions.csv,0.8851,0.5808,0.7313,-45,-8
a2c_naturecnn_single_rgb_obstacle_weather_rainandfog_SnowOnly_positions.csv vs a2c_naturecnn_single_rgb_obstacle_weather_snowonly_SnowOnly_positions.csv,0.924,0.5933,0.6744,19,10
a2c_naturecnn_single_rgb_obstacle_weather_rainandfog_SnowOnly_positions.csv vs ppo_naturecnn_single_rgb_SnowOnly_positions.csv,0.922,0.6504,0.697,0,24
a2c_naturecnn_single_rgb_obstacle_weather_rainandfog_SnowOnly_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling_SnowOnly_positions.csv,0.9334,0.6866,0.7024,0,15
a2c_naturecnn_single_rgb_obstacle_weather_rainandfog_SnowOnly_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_rainandfog_SnowOnly_positions.csv,0.7282,0.5013,0.6469,31,27
a2c_naturecnn_single_rgb_obstacle_weather_rainandfog_SnowOnly_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_snowonly_SnowOnly_positions.csv,0.9276,0.5473,0.6252,-41,0
a2c_naturecnn_single_rgb_obstacle_weather_snowonly_SnowOnly_positions.csv vs ppo_naturecnn_single_rgb_SnowOnly_positions.csv,0.923,0.6047,0.654,-20,2
a2c_naturecnn_single_rgb_obstacle_weather_snowonly_SnowOnly_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling_SnowOnly_positions.csv,0.9232,0.6475,0.6484,-2,2
a2c_naturecnn_single_rgb_obstacle_weather_snowonly_SnowOnly_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_rainandfog_SnowOnly_positions.csv,0.8234,0.7703,0.7823,9,0
a2c_naturecnn_single_rgb_obstacle_weather_snowonly_SnowOnly_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_snowonly_SnowOnly_positions.csv,0.8482,0.3114,0.6001,-48,-5
ppo_naturecnn_single_rgb_SnowOnly_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling_SnowOnly_positions.csv,0.9633,0.8834,0.8834,0,0
ppo_naturecnn_single_rgb_SnowOnly_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_rainandfog_SnowOnly_positions.csv,0.8155,0.782,0.8254,19,0
ppo_naturecnn_single_rgb_SnowOnly_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_snowonly_SnowOnly_positions.csv,0.8646,0.4767,0.6217,-39,0
ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling_SnowOnly_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_rainandfog_SnowOnly_positions.csv,0.8242,0.801,0.8142,10,0
ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling_SnowOnly_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_snowonly_SnowOnly_positions.csv,0.8838,0.5127,0.7433,-45,-13
