Pair,Cosine Similarity (Mean),Pearson Correlation (Mean),Normalized Cross-Correlation (Mean),Lag at Max NCC (Y),Lag at Max NCC (Z)
a2c_naturecnn_depth_positions.csv vs a2c_naturecnn_depth_obstacle_weather_leavesfalling_positions.csv,0.6736,0.8928,0.8988,7,-1
a2c_naturecnn_depth_positions.csv vs a2c_naturecnn_depth_obstacle_weather_rainandfog_positions.csv,0.9752,0.9455,0.9461,0,-2
a2c_naturecnn_depth_positions.csv vs a2c_naturecnn_depth_obstacle_weather_snowonly_positions.csv,0.8794,0.9351,0.9502,-3,-8
a2c_naturecnn_depth_positions.csv vs ppo_naturecnn_depth_positions.csv,0.9228,0.8367,0.8373,2,1
a2c_naturecnn_depth_positions.csv vs ppo_naturecnn_depth_obstacle_weather_leavesfalling_positions.csv,0.8891,0.7824,0.8796,4,-27
a2c_naturecnn_depth_positions.csv vs ppo_naturecnn_depth_obstacle_weather_rainandfog_positions.csv,0.942,0.8807,0.9145,8,-13
a2c_naturecnn_depth_positions.csv vs ppo_naturecnn_depth_obstacle_weather_snowonly_positions.csv,0.9304,0.8536,0.9037,9,-14
a2c_naturecnn_depth_obstacle_weather_leavesfalling_positions.csv vs a2c_naturecnn_depth_obstacle_weather_rainandfog_positions.csv,0.6717,0.8866,0.8928,-5,-2
a2c_naturecnn_depth_obstacle_weather_leavesfalling_positions.csv vs a2c_naturecnn_depth_obstacle_weather_snowonly_positions.csv,0.8062,0.8459,0.8695,-11,-7
a2c_naturecnn_depth_obstacle_weather_leavesfalling_positions.csv vs ppo_naturecnn_depth_positions.csv,0.4671,0.7131,0.7131,0,1
a2c_naturecnn_depth_obstacle_weather_leavesfalling_positions.csv vs ppo_naturecnn_depth_obstacle_weather_leavesfalling_positions.csv,0.4594,0.6641,0.8169,0,-33
a2c_naturecnn_depth_obstacle_weather_leavesfalling_positions.csv vs ppo_naturecnn_depth_obstacle_weather_rainandfog_positions.csv,0.5207,0.7789,0.8215,0,-19
a2c_naturecnn_depth_obstacle_weather_leavesfalling_positions.csv vs ppo_naturecnn_depth_obstacle_weather_snowonly_positions.csv,0.4998,0.758,0.8443,0,-20
a2c_naturecnn_depth_obstacle_weather_rainandfog_positions.csv vs a2c_naturecnn_depth_obstacle_weather_snowonly_positions.csv,0.8609,0.9043,0.9097,-8,0
a2c_naturecnn_depth_obstacle_weather_rainandfog_positions.csv vs ppo_naturecnn_depth_positions.csv,0.8893,0.7428,0.7487,0,6
a2c_naturecnn_depth_obstacle_weather_rainandfog_positions.csv vs ppo_naturecnn_depth_obstacle_weather_leavesfalling_positions.csv,0.8715,0.7809,0.811,0,-22
a2c_naturecnn_depth_obstacle_weather_rainandfog_positions.csv vs ppo_naturecnn_depth_obstacle_weather_rainandfog_positions.csv,0.9501,0.9016,0.9105,3,-7
a2c_naturecnn_depth_obstacle_weather_rainandfog_positions.csv vs ppo_naturecnn_depth_obstacle_weather_snowonly_positions.csv,0.9412,0.8818,0.8979,4,-11
a2c_naturecnn_depth_obstacle_weather_snowonly_positions.csv vs ppo_naturecnn_depth_positions.csv,0.7026,0.734,0.7972,12,14
a2c_naturecnn_depth_obstacle_weather_snowonly_positions.csv vs ppo_naturecnn_depth_obstacle_weather_leavesfalling_positions.csv,0.7891,0.8685,0.9209,10,-14
a2c_naturecnn_depth_obstacle_weather_snowonly_positions.csv vs ppo_naturecnn_depth_obstacle_weather_rainandfog_positions.csv,0.7769,0.8591,0.8876,17,-4
a2c_naturecnn_depth_obstacle_weather_snowonly_positions.csv vs ppo_naturecnn_depth_obstacle_weather_snowonly_positions.csv,0.7654,0.8513,0.8769,16,-5
ppo_naturecnn_depth_positions.csv vs ppo_naturecnn_depth_obstacle_weather_leavesfalling_positions.csv,0.8827,0.637,0.7915,-2,-28
ppo_naturecnn_depth_positions.csv vs ppo_naturecnn_depth_obstacle_weather_rainandfog_positions.csv,0.9465,0.806,0.8587,4,-14
ppo_naturecnn_depth_positions.csv vs ppo_naturecnn_depth_obstacle_weather_snowonly_positions.csv,0.9417,0.7907,0.8257,0,-13
ppo_naturecnn_depth_obstacle_weather_leavesfalling_positions.csv vs ppo_naturecnn_depth_obstacle_weather_rainandfog_positions.csv,0.9172,0.8382,0.8573,4,8
ppo_naturecnn_depth_obstacle_weather_leavesfalling_positions.csv vs ppo_naturecnn_depth_obstacle_weather_snowonly_positions.csv,0.9224,0.8513,0.8556,0,7
ppo_naturecnn_depth_obstacle_weather_rainandfog_positions.csv vs ppo_naturecnn_depth_obstacle_weather_snowonly_positions.csv,0.9888,0.9602,0.9602,0,0
