Pair,Cosine Similarity (Mean),Pearson Correlation (Mean),Normalized Cross-Correlation (Mean),Lag at Max NCC (Y),Lag at Max NCC (Z)
a2c_naturecnn_single_rgb_positions.csv vs a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_positions.csv,0.9405,0.7681,0.7766,6,1
a2c_naturecnn_single_rgb_positions.csv vs a2c_naturecnn_single_rgb_obstacle_weather_rainandfog_positions.csv,0.9695,0.8243,0.8265,0,-5
a2c_naturecnn_single_rgb_positions.csv vs a2c_naturecnn_single_rgb_obstacle_weather_snowonly_positions.csv,0.9267,0.5908,0.671,-109,0
a2c_naturecnn_single_rgb_positions.csv vs ppo_naturecnn_single_rgb_positions.csv,0.994,0.9732,0.9732,0,0
a2c_naturecnn_single_rgb_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling_positions.csv,0.9633,0.8729,0.8743,0,2
a2c_naturecnn_single_rgb_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_rainandfog_positions.csv,0.8129,0.4832,0.5589,-96,0
a2c_naturecnn_single_rgb_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_snowonly_positions.csv,0.9103,0.6319,0.6835,-20,0
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_positions.csv vs a2c_naturecnn_single_rgb_obstacle_weather_rainandfog_positions.csv,0.9414,0.6773,0.6789,0,-5
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_positions.csv vs a2c_naturecnn_single_rgb_obstacle_weather_snowonly_positions.csv,0.9174,0.6461,0.6637,-14,0
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_positions.csv vs ppo_naturecnn_single_rgb_positions.csv,0.9563,0.836,0.8373,-3,0
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling_positions.csv,0.9611,0.8797,0.8801,-1,0
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_rainandfog_positions.csv,0.8296,0.564,0.5741,-6,0
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_snowonly_positions.csv,0.9236,0.7208,0.7949,-24,-5
a2c_naturecnn_single_rgb_obstacle_weather_rainandfog_positions.csv vs a2c_naturecnn_single_rgb_obstacle_weather_snowonly_positions.csv,0.9654,0.7477,0.7515,5,0
a2c_naturecnn_single_rgb_obstacle_weather_rainandfog_positions.csv vs ppo_naturecnn_single_rgb_positions.csv,0.9652,0.8364,0.84,0,7
a2c_naturecnn_single_rgb_obstacle_weather_rainandfog_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling_positions.csv,0.9441,0.7264,0.7382,0,12
a2c_naturecnn_single_rgb_obstacle_weather_rainandfog_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_rainandfog_positions.csv,0.8565,0.5523,0.6271,27,0
a2c_naturecnn_single_rgb_obstacle_weather_rainandfog_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_snowonly_positions.csv,0.9558,0.6639,0.6646,-1,0
a2c_naturecnn_single_rgb_obstacle_weather_snowonly_positions.csv vs ppo_naturecnn_single_rgb_positions.csv,0.9364,0.6705,0.696,109,0
a2c_naturecnn_single_rgb_obstacle_weather_snowonly_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling_positions.csv,0.9324,0.7073,0.7093,1,3
a2c_naturecnn_single_rgb_obstacle_weather_snowonly_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_rainandfog_positions.csv,0.8892,0.7426,0.83,12,0
a2c_naturecnn_single_rgb_obstacle_weather_snowonly_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_snowonly_positions.csv,0.9112,0.5536,0.7213,-37,0
ppo_naturecnn_single_rgb_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling_positions.csv,0.9725,0.9271,0.9271,0,0
ppo_naturecnn_single_rgb_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_rainandfog_positions.csv,0.8214,0.5273,0.5845,-96,0
ppo_naturecnn_single_rgb_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_snowonly_positions.csv,0.9084,0.6416,0.7407,-26,-4
ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_rainandfog_positions.csv,0.8379,0.5634,0.5881,-107,0
ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_snowonly_positions.csv,0.9229,0.68,0.7787,-28,-8
ppo_naturecnn_single_rgb_obstacle_weather_rainandfog_positions.csv vs ppo_naturecnn_single_rgb_obstacle_weather_snowonly_positions.csv,0.7825,0.3424,0.6353,-50,0
