Model,Flight Distance,Holes Reached
a2c_naturecnn_depth_leavesFalling,9.362174065113068,2
a2c_naturecnn_depth_obstacle_weather_leavesfalling_leavesFalling,12.843282134532929,3
a2c_naturecnn_depth_obstacle_weather_rainandfog_leavesFalling,12.5817023062706,3
a2c_naturecnn_depth_obstacle_weather_snowonly_leavesFalling,13.532929153442383,3
a2c_naturecnn_multi_rgb_leavesFalling,8.488515205383301,2
a2c_naturecnn_single_rgb_leavesFalling,6.7142478942871096,1
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_leavesFalling,10.121184959411622,2
a2c_naturecnn_single_rgb_obstacle_weather_rainandfog_leavesFalling,4.7594812297821045,1
a2c_naturecnn_single_rgb_obstacle_weather_snowonly_leavesFalling,5.659674415588379,1
ppo_naturecnn_depth_leavesFalling,8.808923997879027,2
ppo_naturecnn_depth_obstacle_weather_leavesfalling_leavesFalling,15.836746015548705,4
ppo_naturecnn_depth_obstacle_weather_rainandfog_leavesFalling,16.706724848747253,4
ppo_naturecnn_depth_obstacle_weather_snowonly_leavesFalling,14.227892665863036,3
ppo_naturecnn_multi_rgb_leavesFalling,8.403026237487794,2
ppo_naturecnn_single_rgb_leavesFalling,7.183925666809082,1
ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling_leavesFalling,8.507295637130737,2
ppo_naturecnn_single_rgb_obstacle_weather_rainandfog_leavesFalling,4.541933670043945,0
ppo_naturecnn_single_rgb_obstacle_weather_snowonly_leavesFalling,6.546735610961914,1
