Model,Scenario,Failure Percentage
a2c_naturecnn_depth_leavesFalling,LeavesFalling,66.0
a2c_naturecnn_depth_obstacle_weather_leavesfalling_leavesFalling,LeavesFalling,35.0
a2c_naturecnn_depth_obstacle_weather_rainandfog_leavesFalling,LeavesFalling,40.0
a2c_naturecnn_depth_obstacle_weather_snowonly_leavesFalling,LeavesFalling,36.0
a2c_naturecnn_multi_rgb_leavesFalling,LeavesFalling,67.0
a2c_naturecnn_single_rgb_leavesFalling,LeavesFalling,77.0
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_leavesFalling,LeavesFalling,51.0
a2c_naturecnn_single_rgb_obstacle_weather_rainandfog_leavesFalling,LeavesFalling,85.0
a2c_naturecnn_single_rgb_obstacle_weather_snowonly_leavesFalling,LeavesFalling,89.0
ppo_naturecnn_depth_leavesFalling,LeavesFalling,68.0
ppo_naturecnn_depth_obstacle_weather_leavesfalling_leavesFalling,LeavesFalling,22.0
ppo_naturecnn_depth_obstacle_weather_rainandfog_leavesFalling,LeavesFalling,13.0
ppo_naturecnn_depth_obstacle_weather_snowonly_leavesFalling,LeavesFalling,32.0
ppo_naturecnn_multi_rgb_leavesFalling,LeavesFalling,66.0
ppo_naturecnn_single_rgb_leavesFalling,LeavesFalling,78.0
ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling_leavesFalling,LeavesFalling,71.0
ppo_naturecnn_single_rgb_obstacle_weather_rainandfog_leavesFalling,LeavesFalling,93.0
ppo_naturecnn_single_rgb_obstacle_weather_snowonly_leavesFalling,LeavesFalling,73.0
a2c_naturecnn_depth_RainandFog,RainandFog,78.0
a2c_naturecnn_depth_obstacle_weather_leavesfalling_RainandFog,RainandFog,40.0
a2c_naturecnn_depth_obstacle_weather_rainandfog_RainandFog,RainandFog,28.000000000000004
a2c_naturecnn_depth_obstacle_weather_snowonly_RainandFog,RainandFog,43.0
a2c_naturecnn_multi_rgb_RainandFog,RainandFog,100.0
a2c_naturecnn_single_rgb_RainandFog,RainandFog,100.0
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_RainandFog,RainandFog,100.0
a2c_naturecnn_single_rgb_obstacle_weather_rainandfog_RainandFog,RainandFog,100.0
a2c_naturecnn_single_rgb_obstacle_weather_snowonly_RainandFog,RainandFog,100.0
ppo_naturecnn_depth_RainandFog,RainandFog,72.0
ppo_naturecnn_depth_obstacle_weather_leavesfalling_RainandFog,RainandFog,23.0
ppo_naturecnn_depth_obstacle_weather_rainandfog_RainandFog,RainandFog,22.0
ppo_naturecnn_depth_obstacle_weather_snowonly_RainandFog,RainandFog,31.0
ppo_naturecnn_multi_rgb_RainandFog,RainandFog,100.0
ppo_naturecnn_single_rgb_RainandFog,RainandFog,100.0
ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling_RainandFog,RainandFog,99.0
ppo_naturecnn_single_rgb_obstacle_weather_rainandfog_RainandFog,RainandFog,92.0
ppo_naturecnn_single_rgb_obstacle_weather_snowonly_RainandFog,RainandFog,100.0
a2c_naturecnn_depth_SnowOnly,SnowOnly,78.0
a2c_naturecnn_depth_obstacle_weather_leavesfalling_SnowOnly,SnowOnly,44.0
a2c_naturecnn_depth_obstacle_weather_rainandfog_SnowOnly,SnowOnly,53.0
a2c_naturecnn_depth_obstacle_weather_snowonly_SnowOnly,SnowOnly,49.0
a2c_naturecnn_multi_rgb_SnowOnly,SnowOnly,74.0
a2c_naturecnn_single_rgb_SnowOnly,SnowOnly,78.0
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_SnowOnly,SnowOnly,50.0
a2c_naturecnn_single_rgb_obstacle_weather_rainandfog_SnowOnly,SnowOnly,72.0
a2c_naturecnn_single_rgb_obstacle_weather_snowonly_SnowOnly,SnowOnly,86.0
ppo_naturecnn_depth_SnowOnly,SnowOnly,72.0
ppo_naturecnn_depth_obstacle_weather_leavesfalling_SnowOnly,SnowOnly,24.0
ppo_naturecnn_depth_obstacle_weather_rainandfog_SnowOnly,SnowOnly,25.0
ppo_naturecnn_depth_obstacle_weather_snowonly_SnowOnly,SnowOnly,43.0
ppo_naturecnn_multi_rgb_SnowOnly,SnowOnly,54.0
ppo_naturecnn_single_rgb_SnowOnly,SnowOnly,79.0
ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling_SnowOnly,SnowOnly,69.0
ppo_naturecnn_single_rgb_obstacle_weather_rainandfog_SnowOnly,SnowOnly,94.0
ppo_naturecnn_single_rgb_obstacle_weather_snowonly_SnowOnly,SnowOnly,61.0
a2c_naturecnn_depth,gen,13.0
a2c_naturecnn_depth_obstacle_weather_leavesfalling,gen,30.0
a2c_naturecnn_depth_obstacle_weather_rainandfog,gen,25.0
a2c_naturecnn_depth_obstacle_weather_snowonly,gen,30.0
a2c_naturecnn_multi_rgb,gen,56.00000000000001
a2c_naturecnn_single_rgb,gen,73.0
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling,gen,43.0
a2c_naturecnn_single_rgb_obstacle_weather_rainandfog,gen,80.0
a2c_naturecnn_single_rgb_obstacle_weather_snowonly,gen,86.0
ppo_naturecnn_depth,gen,69.0
ppo_naturecnn_depth_obstacle_weather_leavesfalling,gen,17.0
ppo_naturecnn_depth_obstacle_weather_rainandfog,gen,15.0
ppo_naturecnn_depth_obstacle_weather_snowonly,gen,34.0
ppo_naturecnn_multi_rgb,gen,57.99999999999999
ppo_naturecnn_single_rgb,gen,69.0
ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling,gen,59.0
ppo_naturecnn_single_rgb_obstacle_weather_rainandfog,gen,94.0
ppo_naturecnn_single_rgb_obstacle_weather_snowonly,gen,59.0
