Model,Flight Distance,Holes Reached
a2c_naturecnn_depth_obstacle_weather_leavesfalling_RainandFog,12.725500757694244,3
a2c_naturecnn_depth_obstacle_weather_rainandfog_RainandFog,14.005729055404663,3
a2c_naturecnn_depth_obstacle_weather_snowonly_RainandFog,12.781765010356903,3
a2c_naturecnn_depth_RainandFog,7.218378267288208,1
a2c_naturecnn_multi_rgb_RainandFog,3.4676139831542967,0
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_RainandFog,2.496115837097168,0
a2c_naturecnn_single_rgb_obstacle_weather_rainandfog_RainandFog,2.323450603485107,0
a2c_naturecnn_single_rgb_obstacle_weather_snowonly_RainandFog,2.1753755378723145,0
a2c_naturecnn_single_rgb_RainandFog,2.255517292022705,0
ppo_naturecnn_depth_obstacle_weather_leavesfalling_RainandFog,15.47266408443451,4
ppo_naturecnn_depth_obstacle_weather_rainandfog_RainandFog,15.707621121406556,4
ppo_naturecnn_depth_obstacle_weather_snowonly_RainandFog,13.79988610267639,3
ppo_naturecnn_depth_RainandFog,8.206707532405852,2
ppo_naturecnn_multi_rgb_RainandFog,4.965884437561035,1
ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling_RainandFog,3.7275152587890625,0
ppo_naturecnn_single_rgb_obstacle_weather_rainandfog_RainandFog,4.936707782745361,1
ppo_naturecnn_single_rgb_obstacle_weather_snowonly_RainandFog,2.4322048473358153,0
ppo_naturecnn_single_rgb_RainandFog,2.0940069198608398,0
