Model,Flight Distance,Holes Reached
a2c_naturecnn_depth_obstacle_weather_leavesfalling_SnowOnly,11.871632585525512,3
a2c_naturecnn_depth_obstacle_weather_rainandfog_SnowOnly,10.375514304637909,2
a2c_naturecnn_depth_obstacle_weather_snowonly_SnowOnly,12.04153490781784,3
a2c_naturecnn_depth_SnowOnly,7.258620240688324,1
a2c_naturecnn_multi_rgb_SnowOnly,7.236042022705078,1
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling_SnowOnly,10.246387462615967,2
a2c_naturecnn_single_rgb_obstacle_weather_rainandfog_SnowOnly,6.121953144073486,1
a2c_naturecnn_single_rgb_obstacle_weather_snowonly_SnowOnly,6.182896165847779,1
a2c_naturecnn_single_rgb_SnowOnly,7.001322021484375,1
ppo_naturecnn_depth_obstacle_weather_leavesfalling_SnowOnly,15.597009508609771,4
ppo_naturecnn_depth_obstacle_weather_rainandfog_SnowOnly,15.46201275587082,4
ppo_naturecnn_depth_obstacle_weather_snowonly_SnowOnly,12.468875091075898,3
ppo_naturecnn_depth_SnowOnly,7.54070187330246,1
ppo_naturecnn_multi_rgb_SnowOnly,9.427734985351563,2
ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling_SnowOnly,8.994394702911377,2
ppo_naturecnn_single_rgb_obstacle_weather_rainandfog_SnowOnly,4.751503105163574,0
ppo_naturecnn_single_rgb_obstacle_weather_snowonly_SnowOnly,7.450760059356689,1
ppo_naturecnn_single_rgb_SnowOnly,6.668018913269043,1
