Model,Scenario,Flight Distance,Holes Reached
a2c_naturecnn_depth,LeavesFalling,11.235,3
a2c_naturecnn_depth,RainandFog,12.678,3
a2c_naturecnn_depth,SnowOnly,13.890,3
a2c_naturecnn_depth,gen,17.800,4
a2c_naturecnn_depth_obstacle_weather_leavesfalling,LeavesFalling,15.432,4
a2c_naturecnn_depth_obstacle_weather_leavesfalling,RainandFog,15.876,4
a2c_naturecnn_depth_obstacle_weather_leavesfalling,SnowOnly,14.567,3
a2c_naturecnn_depth_obstacle_weather_leavesfalling,gen,16.345,4
a2c_naturecnn_depth_obstacle_weather_rainandfog,LeavesFalling,16.789,4
a2c_naturecnn_depth_obstacle_weather_rainandfog,RainandFog,17.500,4
a2c_naturecnn_depth_obstacle_weather_rainandfog,SnowOnly,15.900,4
a2c_naturecnn_depth_obstacle_weather_rainandfog,gen,18.200,4
a2c_naturecnn_depth_obstacle_weather_snowonly,LeavesFalling,14.123,3
a2c_naturecnn_depth_obstacle_weather_snowonly,RainandFog,14.678,3
a2c_naturecnn_depth_obstacle_weather_snowonly,SnowOnly,14.500,3
a2c_naturecnn_depth_obstacle_weather_snowonly,gen,16.800,4
a2c_naturecnn_multi_rgb,LeavesFalling,11.500,3
a2c_naturecnn_multi_rgb,RainandFog,12.000,3
a2c_naturecnn_multi_rgb,SnowOnly,13.200,3
a2c_naturecnn_multi_rgb,gen,12.500,3
a2c_naturecnn_single_rgb,LeavesFalling,11.300,3
a2c_naturecnn_single_rgb,RainandFog,11.100,3
a2c_naturecnn_single_rgb,SnowOnly,12.800,3
a2c_naturecnn_single_rgb,gen,13.400,3
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling,LeavesFalling,13.750,3
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling,RainandFog,12.500,3
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling,SnowOnly,13.900,3
a2c_naturecnn_single_rgb_obstacle_weather_leavesfalling,gen,14.200,3
a2c_naturecnn_single_rgb_obstacle_weather_rainandfog,LeavesFalling,12.300,3
a2c_naturecnn_single_rgb_obstacle_weather_rainandfog,RainandFog,11.800,3
a2c_naturecnn_single_rgb_obstacle_weather_rainandfog,SnowOnly,12.100,3
a2c_naturecnn_single_rgb_obstacle_weather_rainandfog,gen,12.500,3
a2c_naturecnn_single_rgb_obstacle_weather_snowonly,LeavesFalling,12.200,3
a2c_naturecnn_single_rgb_obstacle_weather_snowonly,RainandFog,11.700,3
a2c_naturecnn_single_rgb_obstacle_weather_snowonly,SnowOnly,12.600,3
a2c_naturecnn_single_rgb_obstacle_weather_snowonly,gen,12.800,3
ppo_naturecnn_depth,LeavesFalling,12.000,3
ppo_naturecnn_depth,RainandFog,12.500,3
ppo_naturecnn_depth,SnowOnly,13.200,3
ppo_naturecnn_depth,gen,13.800,3
ppo_naturecnn_depth_obstacle_weather_leavesfalling,LeavesFalling,17.500,4
ppo_naturecnn_depth_obstacle_weather_leavesfalling,RainandFog,17.800,4
ppo_naturecnn_depth_obstacle_weather_leavesfalling,SnowOnly,16.900,4
ppo_naturecnn_depth_obstacle_weather_leavesfalling,gen,18.600,4
ppo_naturecnn_depth_obstacle_weather_rainandfog,LeavesFalling,18.000,4
ppo_naturecnn_depth_obstacle_weather_rainandfog,RainandFog,17.900,4
ppo_naturecnn_depth_obstacle_weather_rainandfog,SnowOnly,17.600,4
ppo_naturecnn_depth_obstacle_weather_rainandfog,gen,19.000,5
ppo_naturecnn_depth_obstacle_weather_snowonly,LeavesFalling,16.500,4
ppo_naturecnn_depth_obstacle_weather_snowonly,RainandFog,16.800,4
ppo_naturecnn_depth_obstacle_weather_snowonly,SnowOnly,16.200,4
ppo_naturecnn_depth_obstacle_weather_snowonly,gen,16.700,4
ppo_naturecnn_multi_rgb,LeavesFalling,12.500,3
ppo_naturecnn_multi_rgb,RainandFog,13.000,3
ppo_naturecnn_multi_rgb,SnowOnly,13.500,3
ppo_naturecnn_multi_rgb,gen,13.700,3
ppo_naturecnn_single_rgb,LeavesFalling,12.300,3
ppo_naturecnn_single_rgb,RainandFog,11.900,3
ppo_naturecnn_single_rgb,SnowOnly,13.100,3
ppo_naturecnn_single_rgb,gen,13.400,3
ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling,LeavesFalling,14.000,3
ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling,RainandFog,13.500,3
ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling,SnowOnly,14.200,3
ppo_naturecnn_single_rgb_obstacle_weather_leavesfalling,gen,14.500,3
ppo_naturecnn_single_rgb_obstacle_weather_rainandfog,LeavesFalling,13.000,3
ppo_naturecnn_single_rgb_obstacle_weather_rainandfog,RainandFog,12.800,3
ppo_naturecnn_single_rgb_obstacle_weather_rainandfog,SnowOnly,13.200,3
ppo_naturecnn_single_rgb_obstacle_weather_rainandfog,gen,13.500,3
ppo_naturecnn_single_rgb_obstacle_weather_snowonly,LeavesFalling,13.300,3
ppo_naturecnn_single_rgb_obstacle_weather_snowonly,RainandFog,12.700,3
ppo_naturecnn_single_rgb_obstacle_weather_snowonly,SnowOnly,13.600,3
ppo_naturecnn_single_rgb_obstacle_weather_snowonly,gen,13.800,3
